tic,cik,permno
stz,0000016918,69796
aig,0000005272,66800
bidu,0001329099,90857
san,0000891478,75152
edu,0001372920,91457
adsk,0000769397,85631
azo,0000866787,76605
lulu,0001397187,92203
cof,0000927628,44425
cof,0000927628,81055
fcx,0000831259,75294
fcx,0000831259,81774
lng,0000003570,84723
aph,0000820313,77118
aph,0000820313,84769
ngg,0001004315,87280
vlo,0001035002,61671
vlo,0001035002,85269
payx,0000723531,61621
bsbr,0001471055,93054
hmc,0000715153,59555
nxpi,0001413447,12084
bce,0000718940,29647
exc,0001109357,66149
exc,0001109357,21776
enph,0001463101,13323
kmi,0001506307,51596
kmi,0001506307,12558
ctas,0000723254,23660
smfg,0001022837,72814
smfg,0001022837,12385
e,0001002242,58472
e,0001002242,82637
kmb,0000055785,17750
syy,0000096021,52038
tel,0001385157,92157
rop,0000882835,20343
rop,0000882835,77338
trv,0000086312,76102
trv,0000086312,86460
trv,0000086312,83341
trv,0000086312,89346
trv,0000086312,59459
gld,0001222333,22568
gld,0001222333,80694
msi,0000068505,61997
msi,0000068505,22779
msi,0000068505,48020
a,0001090872,10495
a,0001090872,11334
a,0001090872,83438
a,0001090872,87432
wmb,0000107263,38156
xel,0000072903,23931
xel,0000072903,79542
afl,0000004977,57904
mrvl,0001835632,88360
jci,0000833444,42534
lyg,0001160106,89238
hes,0000004447,28484
wday,0001327811,13628
wcn,0001318220,53524
wcn,0001318220,55562
wcn,0001318220,86097
et,0001276187,65904
et,0001276187,24619
et,0001276187,13294
ajg,0000354190,38093
gpn,0001123360,88873
cve,0001475260,93094
tt,0001466258,10372
tt,0001466258,81285
tt,0001466258,59803
hlt,0001585689,23309
hlt,0001585689,14338
msci,0001408198,92402
ing,0001039765,85081
all,0000899051,17224
all,0000899051,79323
bk,0001390777,49656
scco,0001001838,82800
anet,0001596532,81599
anet,0001596532,83946
o,0000726728,81045
psx,0001534701,60310
psx,0001534701,13356
mchp,0000827054,78987
bbd,0001160330,13286
kr,0000056873,16678
ea,0000712515,75828
pru,0001137774,85251
pru,0001137774,89258
dow,0001751788,20626
ed,0001047862,11404
ph,0000076334,41355
apo,0001858681,86365
apo,0001858681,12591
vod,0000839923,75418
se,0001703399,55351
se,0001703399,77015
se,0001703399,48645
se,0001703399,83229
se,0001703399,91650
nem,0001164727,21207
yum,0001041061,85348
twtr,0001418091,14295
peg,0000788784,23712
mplx,0001552000,13618
mplx,0001552000,87399
bcs,0000312069,69761
mfc,0001086888,87212
alb,0000915913,53321
alb,0000915913,80191
nue,0000073309,34817
sbac,0001034054,86996
alc,0001167379,56282
alc,0001167379,85033
alc,0001167379,81051
alc,0001167379,91517
ctsh,0001058290,86158
rmd,0000943819,81736
spg,0001063761,27676
spg,0001063761,80100
tdg,0001260221,91152
stm,0000932787,67061
stm,0000932787,81132
bbva,0000842180,75381
imo,0000049938,33099
ifnny,0001107457,87664
wec,0000783325,23536
dlr,0001297996,90373
danoy,0001048515,85608
rost,0000745732,91556
ilmn,0001110803,88446
gfs,0001709048,32205
amp,0000820027,27051
amp,0000820027,90880
dltr,0000935703,81481
biib,0000875045,76841
puk,0001116578,88310
lvs,0001300514,50294
lvs,0001300514,90505
keys,0001601046,47643
keys,0001601046,83669
es,0000072741,18251
es,0000072741,92389
cmi,0000026172,48282
cmi,0000026172,41080
sqm,0000909037,79663
sqm,0000909037,86808
pcar,0000075362,60506
idxx,0000874716,76709
vrsk,0001442145,93089
dfs,0001393612,92121
bax,0000010456,27887
tlk,0001001807,82646
pcg,0001004980,13688
odfl,0000878927,77037
tu,0000868675,88658
tu,0000868675,13786
tu,0000868675,14824
cht,0001132924,89778
hpq,0000047217,27828
abc,0001140859,10233
abc,0001140859,67969
abc,0001140859,81540
ibkr,0001381197,92043
kkr,0001404912,11990
mfg,0001335730,91582
dell,0001571996,11081
csgp,0001057352,86288
ppg,0000079879,22509
mtd,0001037646,85621
dd,0001666700,11703
rok,0001024478,18948
rok,0001024478,84381
avb,0000915912,80381
ame,0001037868,10460
ame,0001037868,85257
ceg,0001868275,24221
ceg,0001868275,50198
oke,0001039684,25232
glw,0000024741,22293
wit,0001123799,38375
wit,0001123799,88683
nok,0000924613,87128
gww,0000277135,52695
eqr,0000906107,79547
crh,0000849395,30314
crh,0000849395,75650
fast,0000815556,11618
gold,0000756894,35757
gold,0000756894,89454
veev,0001393052,14231
awk,0001410636,23544
awk,0001410636,92614
iff,0000051253,40272
oran,0001038143,85425
cqp,0001383650,91850
ebay,0001065088,82259
ebay,0001065088,86356
li,0001791706,76512
li,0001791706,12046
li,0001791706,90045
li,0001791706,49585
hal,0000045012,23819
frc,0001132979,10623
frc,0001132979,12448
cprt,0000900075,80320
lyb,0001489393,12345
tsn,0000100493,77730
aptv,0001521332,76715
stt,0000093751,47976
stt,0000093751,72726
stt,0000093751,20037
eix,0000827052,15720
clr,0000732834,30584
clr,0000732834,91983
sgen,0001060736,88949
slf,0001097362,87666
trow,0001113169,10138
nu,0001691493,44206
dte,0000936340,11674
ctra,0000858470,81245
ctra,0000858470,87595
exr,0001289490,55028
exr,0001289490,90305
alny,0001178670,90178
hrl,0000048465,32870
it,0000749251,10490
it,0000749251,79698
dhi,0000882184,77661
fitb,0000035527,34746
fang,0001539838,13641
mtb,0000036270,35554
mtb,0000036270,51610
k,0000055067,26825
caj,0000016988,21152
siri,0000908937,80924
aee,0001002910,24985
wy,0000106535,39917
epam,0001352010,13210
are,0001035443,84767
etr,0000065984,62850
etr,0000065984,24010
fe,0001031296,23026
cdw,0001402057,13949
ulta,0001403568,92322
efx,0000033185,52476
eric,0000717826,33452
wtw,0001140536,85630
wtw,0001140536,89244
fnv,0001456346,12994
len,0000920760,52708
len,0000920760,89731
hig,0000874766,82775
rjf,0000720005,69649
sivb,0000719739,11786
tef,0000814052,75049
gpc,0000040987,46674
cm,0001045520,44118
cm,0001045520,75387
cm,0001045520,85636
luv,0000092380,58683
cf,0001324404,79354
cf,0001324404,10725
cf,0001324404,11248
cf,0001324404,90829
ppl,0000922224,22517
vmc,0001396009,15202
lh,0000920148,54607
lh,0000920148,12062
ec,0001444406,62834
ec,0001444406,92793
tsco,0000916365,80286
rf,0001281761,35044
rf,0001281761,75502
dal,0000027904,26112
dal,0000027904,91926
rci,0000733099,26577
rci,0000733099,78405
rci,0000733099,79556
rci,0000733099,83162
bkr,0001701605,52484
ttm,0000926042,90346
payc,0001590955,61640
anss,0001013462,83621
mlm,0000916076,80204
hban,0000049196,42906
mkc,0000063754,47837
mkc,0000063754,52090
mkc,0000063754,89155
dre,0000783280,75341
uri,0001067701,58130
uri,0001067701,85663
mro,0000101778,13047
mro,0000101778,15069
lyv,0001335258,91041
pfg,0001126328,21389
pfg,0001126328,89195
wst,0000105770,62498
cnp,0001130310,61532
cnp,0001130310,31042
cnp,0001130310,21792
coin,0001679788,91893
coin,0001679788,91893
ir,0001699150,12431
moh,0001179929,22760
moh,0001179929,89781
ste,0001757898,77649
mt,0001243429,89982
mt,0001243429,85261
spot,0001639920,82283
spot,0001639920,84836
algn,0001097149,88860
mos,0001285785,90386
ntrs,0000073124,58246
pwr,0001050915,62631
pwr,0001050915,85792
pba,0001546066,13353
vrsn,0001014473,85753
mpwr,0001280452,90455
cms,0000811156,23229
cms,0000811156,81770
hei,0000046619,32678
hei,0000046619,85945
chd,0000313927,23393
db,0001159508,89199
snap,0001564408,82746
maa,0000912595,80183
br,0001383312,46308
br,0001383312,75333
br,0001383312,91849
agr,0001634997,51190
agr,0001634997,79211
agr,0001634997,88917
agr,0001634997,89400
foxa,0001754301,90442
vtr,0000740260,75819
gib,0001061574,38974
gib,0001061574,86372
ix,0001070304,86349
ui,0001511737,54420
cah,0000721371,21371
lpla,0001397911,12400
pcrfy,0000063271,53727
jbht,0000728535,42877
acgl,0000947484,82276
eqt,0000033213,24328
rprx,0001802768,79025
wat,0001000697,82651
podd,0001145197,92050
aes,0000874761,76712
panw,0001327567,13511
sui,0000912593,80102
dov,0000029905,25953
rol,0000084839,36003
bby,0000764478,85914
tdy,0001094285,87445
bro,0000079282,63467
clx,0000021076,46578
holx,0000859737,76095
xyl,0001524472,13035
iclr,0001060955,86072
ess,0000920522,80681
dri,0000940944,81655
plug,0001093691,87337
elp,0001041792,85237
fds,0001013237,83597
key,0000091576,64995
key,0000091576,45321
key,0000091576,70958
key,0000091576,64995
grmn,0001121788,88837
pins,0001506293,62587
mga,0000749098,78045
pki,0000031791,42200
flt,0001175454,25048
flt,0001175454,12449
swks,0000004127,45911
trgp,0001389170,12476
cnhi,0001567094,14144
expd,0000746515,87717
wab,0000943452,43908
wab,0000943452,81677
mtch,0000891103,55299
mtch,0000891103,10973
mtch,0000891103,87401
expe,0001324424,87388
expe,0001324424,90808
mkl,0001096343,10933
ts,0001190723,89637
bmrn,0001048477,87056
mgm,0000789570,61794
mgm,0000789570,85620
mgm,0000789570,11891
cag,0000023217,56274
cinf,0000020286,23473
cfg,0000759944,75050
swmay,0001011218,83563
vfc,0000103379,43553
chkp,0001015922,83639
zbra,0000877212,76795
ryaay,0001038683,84828
csl,0000790051,27334
umc,0001033767,79455
umc,0001033767,88612
iex,0000832101,75591
evrg,0001711269,77871
mdb,0001441816,76422
phg,0000313216,62616
phg,0000313216,86943
phg,0000313216,88487
wpc,0001025378,85763
irm,0001020569,83143
ip,0000051434,21573
ntap,0001002047,82598
dgx,0001022079,84373
incy,0000879169,79906
ato,0000731802,67133
ato,0000731802,32986
stld,0001022671,84262
lnt,0000352541,58819
sjm,0000091419,42585
sjm,0000091419,77058
azpn,0001897982,80957
rkt,0001805284,80361
trmb,0000864749,76230
tw,0001758730,10119
tw,0001758730,88681
tw,0001758730,93223
tyl,0000860731,44759
tyl,0000860731,76185
avy,0000008818,44601
splk,0001353283,83419
splk,0001353283,13379
coo,0000711404,52388
coo,0000711404,65541
ttwo,0000946581,84761
omc,0000029989,30681
omc,0000029989,51799
hwm,0000004281,85610
hznp,0001492426,12919
akam,0001086222,87299
jkhy,0000779152,88664
wpm,0001323404,41427
iep,0000813762,75113
lkq,0001065696,89866
cpb,0000016732,25320
bio,0000012208,61508
bio,0000012208,61516
txt,0000217346,23579
znh,0001041668,85235
l,0000060086,58835
l,0000060086,26710
l,0000060086,81301
fslr,0001274494,91611
wmg,0001319161,90699
chrw,0001043277,85459
swk,0000093556,43350
nvr,0000906163,69569
nvr,0000906163,79785
pcty,0001591698,14547
pcty,0001591698,83299
stx,0001137789,14605
stx,0001137789,89641
udr,0000074208,59300
peak,0000765880,77833
peak,0000765880,85029
kb,0001445930,89236
kmx,0001170010,84577
kmx,0001170010,89508
fmc,0000037785,19166
tpl,0001811074,14752
ssnc,0001402436,83559
ssnc,0001402436,93312
wolf,0000895419,90491
ptc,0000857005,75912
ter,0000097210,51369
ebr,0001439124,92802
viv,0001066119,81147
cpt,0000906345,84399
cpt,0000906345,10923
cpt,0000906345,79452
pool,0000945841,82515
gnrc,0001474735,93246
shg,0001263043,89854
tru,0001552033,79923
apa,0001841666,39490
kof,0000910631,79644
els,0000895417,78947
ndsn,0000072331,57809
ldos,0001336920,91547
rcl,0000884887,79145
hst,0001070750,46703
bxp,0001037540,85058
ctxs,0000877890,82686
aci,0001646972,57621
aci,0001646972,75326
rgen,0000730272,10200
bg,0001144519,89138
frfhf,0000915191,89627
nice,0001003935,10144
nice,0001003935,82830
cs,0001159510,89154
kim,0000879101,77129
ccl,0000815097,75154
dpz,0001286681,90248
cboe,0001374310,93429
fhn,0000036966,36397
sjr,0000932872,45954
sjr,0000932872,86218
entg,0001101302,88439
bip,0001406234,92550
pkg,0000075677,87541
ual,0000100517,19596
ual,0000100517,91103
pkx,0000889132,81044
fico,0000814547,11533
ar,0001433270,10364
ar,0001433270,14179
cck,0001219601,17726
tech,0000842023,74924
tech,0000842023,75694
bah,0001443646,12366
ben,0000038777,37584
vst,0001692819,83232
chk,0000895126,55968
chk,0000895126,78877
dar,0000916540,80928
wlk,0001262823,90312
abmd,0000815094,12571
abmd,0000815094,75107
wrb,0000011544,17743
mas,0000062996,34032
amh,0001562401,60046
amh,0001562401,14061
amh,0001562401,84406
htht,0001483994,93306
rpm,0000110621,65307
glpi,0001575965,14252
wdc,0000106040,52142
wdc,0000106040,66384
ce,0001306830,26332
ce,0001306830,90520
ssl,0000314590,66712
ssl,0000314590,68866
erie,0000922621,82486
y,0000775368,17400
y,0000775368,71271
ccj,0001009001,83188
sna,0000091440,60206
asx,0001122411,83439
asx,0001122411,88659
wes,0001423902,10211
wes,0001423902,92672
cea,0001030475,25750
cea,0001030475,84576
ni,0001111711,38762
aer,0001378789,28724
aer,0001378789,85410
aer,0001378789,91602
fnf,0001331875,67504
fnf,0001331875,71909
fnf,0001331875,90925
cuk,0001125259,88671
cuk,0001125259,89728
re,0001095073,82303
cg,0001527166,13405
rs,0000861884,80864
afg,0001042046,60687
tap,0000024545,59248
tap,0000024545,90562
mmp,0001126975,88901
nrg,0001013871,88232
nrg,0001013871,90071
ipg,0000051644,53065
emn,0000915389,80080
tfx,0000096943,44329
ggg,0000042888,39571
ggg,0000042888,48418
sbny,0001288784,90090
snn,0000845982,87444
has,0000046080,52978
nmr,0001163653,34606
nmr,0001163653,89256
nmr,0001163653,86107
bldr,0001316835,90720
nly,0001043219,85414
bep,0001533232,75151
bep,0001533232,14009
wso,0000105016,46068
wso,0000105016,66376
ewbc,0001069157,86719
cma,0000028412,25081
bki,0001627014,82635
ihg,0000858446,76089
ihg,0000858446,89704
aap,0001158449,80105
aap,0001158449,89217
bj,0001531152,48610
bj,0001531152,85232
cna,0000021175,47626
gl,0000320335,51836
gl,0000320335,84777
crl,0001100682,88281
h,0001468174,40838
h,0001468174,55677
h,0001468174,93098
uhal,0000004457,81073
qgen,0001015820,83686
ndaq,0001120193,90601
nwsa,0001564708,69593
nwsa,0001564708,90441
nwsa,0001564708,13964
acm,0000868857,91975
bap,0001001290,82311
nbix,0000914475,83534
wpp,0000806968,81702
lbtya,0001570585,76941
lbtya,0001570585,77414
lbtya,0001570585,90228
lbtya,0001570585,90866
wsm,0000719955,83011
dox,0001062579,86144
aem,0000002809,78223
sci,0000089089,68161
sci,0000089089,51625
reg,0000910606,79782
nlsn,0001492633,12542
hsic,0001000228,82581
czr,0001590895,76090
czr,0001590895,13267
czr,0001590895,86447
uthr,0001082554,87006
dks,0001089063,89540
jhx,0001159152,89191
phm,0000822416,54148
fms,0001333141,83987
agl,0001831097,45583
morn,0001289419,90708
teva,0000818686,75484
teva,0000818686,75652
mktx,0001278021,90454
lsi,0000944314,48267
srpt,0000873303,85002
wms,0001604028,64135
wms,0001604028,64135
lamr,0001090425,83879
cube,0001298675,80441
cube,0001298675,90396
dva,0000927066,82307
wsc,0001647088,38906
ttc,0000737758,60580
aeg,0000769218,85172
bch,0001161125,65146
bch,0001161125,89284
jazz,0001232524,92096
jazz,0001232524,87524
deck,0000910521,79686
mtn,0000812011,63247
mtn,0000812011,84588
hii,0001501585,88605
hii,0001501585,46412
hii,0001501585,12623
burl,0001579298,14182
aal,0000006201,21020
aal,0000006201,63845
zion,0000109380,84129
ffiv,0001048695,86964
lii,0001069202,75173
lii,0001069202,87034
dish,0001001082,81696
car,0000723612,26374
car,0000723612,25487
app,0001751008,80192
app,0001751008,91136
jnpr,0001043604,86979
bz,0001842827,54797
bz,0001842827,62797
bz,0001842827,92105
rexr,0001571283,14037
cfr,0000039263,27888
htz,0001657853,55343
htz,0001657853,84663
htz,0001657853,91575
lnc,0000059558,49015
bwa,0000908255,79545
aiz,0001267238,90038
manh,0001056696,85992
whr,0000106640,25419
lu,0001816007,83332
kep,0000887225,81040
rga,0000898174,79210
rga,0000898174,86134
dxcm,0001093557,90664
arcc,0001287750,87300
arcc,0001287750,90401
snx,0001177394,89900
stor,0001538990,76434
paa,0001070423,83975
paa,0001070423,89858
eslt,0001027664,84207
rhi,0000315213,52230
rhi,0000315213,68478
rdy,0001135951,88957
masi,0000937556,92220
cbsh,0000022356,25129
jbl,0000898293,79094
flex,0000866374,80329
g,0001398659,16424
g,0001398659,92261
aos,0000091142,19852
aos,0000091142,65402
oc,0001370946,60660
oc,0001370946,24811
oc,0001370946,91531
alle,0001579241,82469
alle,0001579241,14297
jll,0001037976,85246
pnw,0000764622,27991
unm,0000005513,71175
ftnt,0001262039,93132
uso,0001327068,91208
brkr,0001109354,88504
pag,0001019849,43764
pag,0001019849,80209
pag,0001019849,84042
fcnca,0000798941,10777
lea,0000842162,80422
lea,0000842162,93101
jef,0000096223,46392
jef,0000096223,86804
jef,0000096223,59336
oge,0001021635,24440
logi,0001032975,84621
mpw,0001287865,90790
fbhs,0001519751,12981
rrc,0000315852,50017
bsmx,0001698287,13576
leco,0000059527,49104
leco,0000059527,81678
leco,0000059527,81717
aa,0001675149,24643
knx,0001492691,80987
grfs,0001438569,12886
agco,0000880266,77520
path,0001734722,61453
path,0001734722,12085
casy,0000726958,21742
chng,0001756497,92938
uhs,0000352915,79637
dcp,0001338065,91216
otex,0001002638,82833
midd,0000769520,75470
hrb,0000012659,49373
nxst,0001142417,89916
ugi,0000884614,17929
pso,0000938323,45823
pso,0000938323,88595
frt,0000034903,58413
oln,0000074303,13610
swn,0000007332,63765
skm,0001015650,83604
mat,0000063276,39538
nnn,0000751364,88373
chdn,0000020212,79026
seic,0000350894,68196
wal,0001212545,22269
wal,0001212545,90776
five,0001177609,13527
clf,0000764065,27422
celh,0001341766,93263
gtls,0000892553,78786
gtls,0000892553,91402
pfgc,0001618673,79517
ivz,0000914208,81910
wynn,0001174922,89533
achc,0001520697,13105
see,0001012100,61049
see,0001012100,85926
pcor,0001611052,64216
pcor,0001611052,10351
pcor,0001611052,86732
pcor,0001611052,88565
ggb,0001073404,41507
pac,0001347557,66026
pac,0001347557,91112
s,0001583708,14322
s,0001583708,39087
s,0001583708,14040
cgnx,0000851205,75654
che,0000019584,64194
dlb,0001308547,90550
lad,0001023128,84319
bsac,0001027552,84386
bery,0001378992,13604
ohi,0000888491,77857
an,0000350698,10102
an,0000350698,19553
an,0000350698,76282
rba,0001046102,85925
musa,0001573516,14076
musa,0001573516,85247
musa,0001573516,89769
musa,0001573516,93323
pnr,0000077360,62034
pnr,0000077360,13586
xray,0000818479,24695
xray,0000818479,11600
cacc,0000885550,77660
ttek,0000831641,77191
vips,0001529192,13315
elan,0001739104,31801
nwl,0000814453,60986
stwd,0001465128,92999
voya,0001535929,13904
exas,0001124140,88863
rnr,0000913144,83728
gpk,0001408075,77695
gpk,0001408075,89810
gpk,0001408075,78117
kbr,0001357615,91579
lscc,0000855658,75854
osh,0001564406,60055
arw,0000007536,29209
dxc,0001688568,61305
atr,0000896622,79133
roll,0001324948,86000
roll,0001324948,90870
mtdr,0001520006,13244
nov,0001021860,84032
rl,0001037038,81778
rl,0001037038,85072
mhk,0000851968,77496
adt,0001703056,49269
adt,0001703056,13567
adt,0001703056,11968
adt,0001703056,76805
gfi,0001172724,30796
yndx,0001513845,12799
ori,0000074260,59396
pii,0000931015,75182
wcc,0000929008,86876
fr,0000921825,80683
wex,0001309108,81651
wex,0001309108,90569
pb,0001068851,79662
pb,0001068851,86432
clh,0000822818,11809
edr,0001766363,90524
chh,0001046311,85517
cien,0000936395,84519
asr,0001123452,75114
asr,0001123452,88593
egp,0000049600,56290
egp,0000049600,85082
alv,0001034670,84656
nfg,0000070145,25590
nclh,0001513761,13760
caci,0000016058,20512
cabo,0001632127,20491
st,0001477294,27780
st,0001477294,93296
iot,0001642896,75069
thc,0000070318,52337
pnfp,0001115055,89395
dci,0000029644,61313
bpop,0000763901,16505
bpop,0000763901,16513
bpop,0000763901,16505
sbs,0001170858,36177
sbs,0001170858,89403
eme,0000105634,46288
eme,0000105634,82694
hog,0000793952,70033
coty,0001024305,13983
bokf,0000875357,76892
dnb,0001799208,48506
dnb,0001799208,88590
wh,0001722684,92515
txrh,0001289460,90427
brx,0001581068,14181
pdce,0000077877,62341
sf,0000720672,58915
sf,0000720672,72996
mur,0000717423,28345
ppc,0000802481,70965
ppc,0000802481,87040
ppc,0000802481,93179
gmed,0001237831,80750
gmed,0001237831,13543
trq,0001158041,89911
asnd,0001612042,80506
gntx,0000355811,38659
itt,0000216228,12570
itt,0000216228,82776
vac,0001524358,58050
vac,0001524358,13085
gil,0001061894,86121
son,0000091767,71176
son,0000091767,47714
docs,0001516513,30323
docs,0001516513,80471
mtz,0000015615,19880
mtz,0000015615,43959
ffin,0000036029,79824
cybr,0001598110,84068
fybr,0000020520,11782
phi,0000078150,38607
phi,0000078150,81043
mdu,0000067716,23835
byd,0000906553,79758
rcm,0001910851,75106
wf,0001264136,89856
qlys,0001107843,13600
rgld,0000085535,67847
kt,0000892450,86869
gh,0001576280,19174
wwd,0000108312,84403
halo,0001159036,90436
irdm,0001418819,92596
irdm,0001418819,92596
infa,0001868778,86830
agnc,0001423689,92680
snv,0000018349,20053
vmi,0000102729,51019
vmi,0000102729,80128
dsgx,0001050140,86572
alk,0000766421,28804
krc,0001025996,48266
krc,0001025996,84392
hun,0001307954,62287
hun,0001307954,90558
cw,0000026324,18091
cw,0000026324,89223
ssb,0000764038,84389
mp,0001801368,13135
exls,0001297989,91500
nvt,0001720635,90309
xpo,0001166003,90175
gbci,0000868671,87952
timb,0001826168,76241
ash,0001674862,24272
skx,0001065837,86949
hcp,0001720671,32520
hcp,0001720671,67598
bc,0000014930,10874
bld,0001633931,71538
tx,0001342874,14736
